year,make,model,trim,type,damage,price,odometer,lot,vin,date,location,state,source,auction,url
2023,Chevrolet,Silverado,K1500 Rst,Sc,Front End,0,56256 mi,79845425,[PREMIUM],2026-04-10,Ca - Redding,CA,,,[PREMIUM]
2023,Honda,Civic,Sport,Sc,Front End,0,17765 mi,79554015,[PREMIUM],,Ca - Redding,CA,,,[PREMIUM]
2015,Nissan,Leaf,S,Sc,Mechanical,0,128409 mi,78501465,[PREMIUM],2026-04-10,Ca - Redding,CA,,,[PREMIUM]
2023,Ford,Explorer,Limited,Sc,Front End,0,51381 mi,78537805,[PREMIUM],2026-04-17,Ca - Redding,CA,,,[PREMIUM]
2015,Ram,3500,Laramie,Sc,Stripped,0,0 mi,76176225,[PREMIUM],2026-04-15,Medium Duty Specialty Sale,CA,,,[PREMIUM]
2016,Dodge,Journey,Sxt,Sc,Front End,0,114784 mi,73256975,[PREMIUM],2026-04-10,Ca - Redding,CA,,,[PREMIUM]
2023,Ram,1500,Laramie,Sc,Front End,0,63357 mi,47765116,[PREMIUM],,Ca - Redding,CA,,,[PREMIUM]
2019,Chevrolet,Colorado,Lt,Sc,Front End,0,127756 mi,97847445,[PREMIUM],2026-04-08,Ca - Mentone,CA,,,[PREMIUM]
2025,Toyota,Camry,Xse,Sc,Mechanical,0,15143 mi,96848185,[PREMIUM],2026-04-15,Ca - Mentone,CA,,,[PREMIUM]
2020,Honda,Accord,Sport,Sc,Rear End,0,127731 mi,79520265,[PREMIUM],2026-04-15,Ca - Mentone,CA,,,[PREMIUM]
2016,Ford,Focus,Se,Sc,Front End,0,126291 mi,79575585,[PREMIUM],,Ca - Mentone,CA,,,[PREMIUM]
2020,Niss,Rogue,Sl,Sc,Front End,0,119213 mi,78805265,[PREMIUM],,Ca - Mentone,CA,,,[PREMIUM]
2025,Honda,Civic,Sport,Sc,Front End,0,28332 mi,78191445,[PREMIUM],2026-04-15,Ca - Mentone,CA,,,[PREMIUM]
2021,Nissan,Leaf,Sv,Sc,Rear End,0,30410 mi,77246525,[PREMIUM],2026-04-08,Ca - Mentone,CA,,,[PREMIUM]
2022,Mercedes-Benz,S-Class,500 4Matic,Sc,Undercarriage,0,30928 mi,77433155,[PREMIUM],2026-04-15,Ca - Mentone,CA,,,[PREMIUM]
2022,Honda,Civic,Sport,Sc,Undercarriage,0,47702 mi,76446995,[PREMIUM],2026-04-08,Ca - Mentone,CA,,,[PREMIUM]
2022,Honda,Civic,Ex,Sc,Undercarriage,0,121638 mi,74884105,[PREMIUM],2026-04-08,Ca - Mentone,CA,,,[PREMIUM]
2020,Chevrolet,Colorado,Z71,Sc,Front End,0,135072 mi,74929535,[PREMIUM],2026-04-08,Ca - Mentone,CA,,,[PREMIUM]
2015,Nissan,Altima,2.5,Sc,All Over,0,58764 mi,56766875,[PREMIUM],2026-04-15,Ca - Mentone,CA,,,[PREMIUM]
2017,Honda,Accord,Lx,Sc,Front End,0,186745 mi,48147736,[PREMIUM],2026-04-08,Ca - Mentone,CA,,,[PREMIUM]
2016,Mazda,Cx-3,Grand Touring,Sc,Front End,0,186509 mi,46701936,[PREMIUM],2026-04-15,Ca - Mentone,CA,,,[PREMIUM]
2015,Buick,Enclave,,Sc,Front End,0,82605 mi,46566256,[PREMIUM],2026-04-15,Ca - Mentone,CA,,,[PREMIUM]
2021,Nissan,Rogue,Sv,Sc,Side,0,95342 mi,46852746,[PREMIUM],2026-04-08,Ca - Mentone,CA,,,[PREMIUM]
2021,Bmw,X5,Xdrive45E,Sc,Front End,0,0 mi,46166016,[PREMIUM],2026-04-15,Ca - Mentone,CA,,,[PREMIUM]
2023,Chevrolet,Colorado,Z71,Sc,Front End,0,21984 mi,79570675,[PREMIUM],2026-04-17,Ca - Redding,CA,,,[PREMIUM]
2020,Nissan,Sentra,Sr,Sc,Front End,0,61408 mi,79058225,[PREMIUM],2026-04-17,Ca - Redding,CA,,,[PREMIUM]
2018,Subaru,Outback,2.5I Limited,Sc,Rear End,0,131945 mi,78738935,[PREMIUM],2026-04-17,Ca - Redding,CA,,,[PREMIUM]
2023,Nissan,Sentra,Sr,Ct,Minor Dent/Scratches,0,43425 mi,77398225,[PREMIUM],2026-04-14,Wholesale Auction,CA,,,[PREMIUM]
2018,Toyota,Camry,Xse,Nr,Front End,0,31566 mi,74796985,[PREMIUM],2026-04-10,Ca - Redding,CA,,,[PREMIUM]
2016,Chevrolet,Cruze,Lt,Sc,Burn - Interior,0,0 mi,47778546,[PREMIUM],2026-04-10,Ca - Redding,CA,,,[PREMIUM]
2020,Ram,1500,Rebel,Sc,Rollover,0,111268 mi,45876116,[PREMIUM],2026-04-10,Ca - Redding,CA,,,[PREMIUM]
2023,Volvo,Xc60,Ultimate,Sc,Front End,0,34408 mi,45568696,[PREMIUM],2026-04-10,Ca - Redding,CA,,,[PREMIUM]
2017,Mercedes-Benz,E-Class,300 4Matic,Sc,Front End,0,0 mi,41941716,[PREMIUM],,Ca - Redding,CA,,,[PREMIUM]
2019,Subaru,Ascent,Limited,Sc,Rear End,0,82060 mi,41606886,[PREMIUM],2026-04-10,Ca - Redding,CA,,,[PREMIUM]
2023,Kia,Forte,Lxs,Sc,Side,0,40827 mi,41658346,[PREMIUM],2026-04-10,Ca - Redding,CA,,,[PREMIUM]
2015,Infiniti,Q50,Base,Sc,Rear End,0,116427 mi,89740565,[PREMIUM],2026-04-08,Ca - Mentone,CA,,,[PREMIUM]
2026,Toyota,Tundra,Trd Pro Hv,Sc,Front End,0,1990 mi,79476055,[PREMIUM],2026-04-15,Ca - Mentone,CA,,,[PREMIUM]
2018,Toyota,Camry,Se,Sc,Side,0,245189 mi,79261145,[PREMIUM],2026-04-08,Ca - Mentone,CA,,,[PREMIUM]
2025,Ram,2500,Tradesman,Sc,Front End,0,9688 mi,78040755,[PREMIUM],2026-04-08,Ca - Mentone,CA,,,[PREMIUM]
2022,Toyota,Tacoma,Trd Sport,Sc,Front End,0,104772 mi,74434355,[PREMIUM],2026-04-08,Ca - Mentone,CA,,,[PREMIUM]
2018,Toyota,Tacoma,Sr5 V6,Sc,Front End,0,66318 mi,47970946,[PREMIUM],2026-04-15,Ca - Mentone,CA,,,[PREMIUM]
2015,Chrysler,300,,Sc,Rear End,0,84826 mi,46703066,[PREMIUM],2026-04-15,Ca - Mentone,CA,,,[PREMIUM]
2018,Subaru,Forester,2.5I Premium,Sc,Front End,0,145642 mi,98983835,[PREMIUM],2026-04-03,Ca - Redding,CA,,,[PREMIUM]
2019,Chevrolet,Tahoe,K1500 Lt,St,Missing/Altered Vin,0,75885 mi,95718705,[PREMIUM],2026-04-17,Ca - Redding,CA,,,[PREMIUM]
2019,Toyota,Tacoma,Double Cab,Sc,Front End,0,56757 mi,78252475,[PREMIUM],2026-04-03,Ca - Redding,CA,,,[PREMIUM]
2016,Kia,Optima,Sx Turbo,Sc,Minor Dent/Scratches,0,125734 mi,47766696,[PREMIUM],2026-04-03,Ca - Redding,CA,,,[PREMIUM]
2016,Toyota,Tacoma,Trd Sport,Sc,Front End,0,42569 mi,47540686,[PREMIUM],2026-04-10,Ca - Redding,CA,,,[PREMIUM]
2018,Honda,Hr-V,Exl,Sc,Front End,0,100823 mi,47787116,[PREMIUM],,Ca - Redding,CA,,,[PREMIUM]
2019,Toyota,Corolla,Se,Sc,Rear End,0,84072 mi,79296185,[PREMIUM],2026-04-15,Ca - Mentone,CA,,,[PREMIUM]
