vin,year,make,model,trim,type,damage,price,odometer,lot,date,location,state,source,repair_cost,url,matched_url,price_source
[PREMIUM],2018,Subaru,Outback,2.5I PREMIUM,SC,Side,0,54509,41988396,2026-04-16,CA - ANTELOPE,CA,,8910.0,[PREMIUM],,
[PREMIUM],2019,Hyundai,Tucson,SE,SC,Front End,0,101143,79833815,2026-04-07,CA - RANCHO CUCAMONGA,CA,,9641.0,[PREMIUM],,
[PREMIUM],2015,Bmw,M3,,SC,Minor Dent/Scratches,0,79789,79309885,2026-04-21,CA - RANCHO CUCAMONGA,CA,,35276.0,[PREMIUM],,
[PREMIUM],2019,Cadillac,Cts,LUXURY,SC,Front End,0,94932,77239885,2026-04-09,CA - RANCHO CUCAMONGA,CA,,14866.0,[PREMIUM],,
[PREMIUM],2015,Toyota,Camry,XSE,SC,Front End,0,128157,75867225,2026-04-09,CA - RANCHO CUCAMONGA,CA,,11740.0,[PREMIUM],,
[PREMIUM],2025,Chev,Colorado,,SC,Rear End,0,8113,75673995,2026-04-09,CA - RANCHO CUCAMONGA,CA,,19084.0,[PREMIUM],,
[PREMIUM],2020,Nissan,Versa,S,SC,Front End,0,124051,74128975,2026-04-09,CA - RANCHO CUCAMONGA,CA,,4958.0,[PREMIUM],,
[PREMIUM],2019,Chevrolet,Equinox,PREMIER,SC,Side,0,118073,47743256,2026-04-16,CA - RANCHO CUCAMONGA,CA,,15412.0,[PREMIUM],,
[PREMIUM],2018,Toyota,Tacoma,TRD OFF-ROAD,SC,Front End,0,154474,46945846,2026-04-16,CA - RANCHO CUCAMONGA,CA,,10570.0,[PREMIUM],,
[PREMIUM],2018,Hyundai,Santa Fe,2.4L,SC,Front End,0,64464,46503846,2026-04-16,CA - RANCHO CUCAMONGA,CA,,8393.0,[PREMIUM],,
[PREMIUM],2023,Can-Am,Sidebyside,UNKNOWN,SC,Front End,0,2032,42075466,2026-04-23,CRASHEDTOYS POWERSPORT AUCTION,CA,,16369.0,[PREMIUM],,
[PREMIUM],2025,Ford,Bronco,HERITAGE,SC,All Over,0,10876,41862946,2026-04-16,CA - RANCHO CUCAMONGA,CA,,19222.0,[PREMIUM],,
[PREMIUM],2021,Subaru,Wrx,,SC,Front End,0,47856,41816486,2026-04-16,CA - RANCHO CUCAMONGA,CA,,10160.0,[PREMIUM],,
[PREMIUM],2026,Toyota,Corolla,LE,SC,Front End,0,1712,73267865,2026-04-08,CA - MARTINEZ,CA,,23653.0,[PREMIUM],,
[PREMIUM],2016,Cadillac,Ct6,PREMIUM,SC,Side,0,196452,47114456,2026-04-08,CA - MARTINEZ,CA,,0.0,[PREMIUM],,
[PREMIUM],2021,Lexus,Rx350,BASE,SC,Side,0,176070,46909426,2026-04-22,CA - MARTINEZ,CA,,7434.0,[PREMIUM],,
[PREMIUM],2019,Honda,Accord,TOURING,SC,Vandalism,0,64244,45654446,2026-04-08,CA - MARTINEZ,CA,,0.0,[PREMIUM],,
[PREMIUM],2017,Lexus,Ls500,BASE,SC,Rear End,0,53380,41848416,2026-04-15,CA - MARTINEZ,CA,,18004.0,[PREMIUM],,
[PREMIUM],2022,Hyundai,Santa Fe,SEL,SC,Front End,0,42849,79115635,2026-04-10,CA - SAN DIEGO,CA,,25109.0,[PREMIUM],,
[PREMIUM],2023,Kia,Sportage,EX,SC,Front End,0,59026,78317065,2026-04-10,CA - SAN DIEGO,CA,,19716.0,[PREMIUM],,
[PREMIUM],2020,Dodge,Caravan,SXT,SC,Front End,0,0,47119936,2026-04-10,CA - SAN DIEGO,CA,,12355.0,[PREMIUM],,
[PREMIUM],2020,Toyota,Camry Sola,XLE,SC,Front End,0,107929,46955766,2026-04-14,CA - SAN DIEGO,CA,,15945.0,[PREMIUM],,
[PREMIUM],2019,Kia,Sportage,EX,SC,Front End,0,76402,46163136,2026-04-10,CA - SAN DIEGO,CA,,18953.0,[PREMIUM],,
[PREMIUM],2017,Mitsubishi,Outlander,SE,SC,Rear End,0,115294,46061216,2026-04-10,CA - SAN DIEGO,CA,,11960.0,[PREMIUM],,
[PREMIUM],2022,Bmw Motorrad,5 Series,,SC,Front End,0,0,45881086,2026-04-10,CA - SAN DIEGO,CA,,27246.0,[PREMIUM],,
[PREMIUM],2023,Tesla,Model Y,,SC,Side,0,49410,45633486,2026-04-10,CA - SAN DIEGO,CA,,18722.0,[PREMIUM],,
[PREMIUM],2018,Jeep,Compass,LIMITED,SC,Rear End,0,137121,45476646,2026-04-10,CA - SAN DIEGO,CA,,17664.0,[PREMIUM],,
[PREMIUM],2025,Honda,Civic,SPORT,SC,Side,0,21861,42007236,2026-04-10,CA - SAN DIEGO,CA,,18435.0,[PREMIUM],,
[PREMIUM],2019,Honda,Civic,LX,SC,Front End,0,88710,41789036,2026-04-17,CA - SAN DIEGO,CA,,12201.0,[PREMIUM],,
[PREMIUM],2019,Gmc,Sierra,K1500 DENALI,SC,Undercarriage,0,84187,98196495,2026-04-22,CA - MENTONE,CA,,0.0,[PREMIUM],,
[PREMIUM],2021,Mazda,Cx-5,TOURING,SC,Front End,0,66918,97052245,2026-04-08,CA - MENTONE,CA,,17293.0,[PREMIUM],,
[PREMIUM],2024,Audi,Q3,PREMIUM PLUS S LINE 45,SC,Front End,0,19342,95907995,2026-04-08,CA - MENTONE,CA,,23132.0,[PREMIUM],,
[PREMIUM],2022,Toyota,Camry,SE,SC,Front End,0,0,95708865,2026-04-08,CA - MENTONE,CA,,20303.0,[PREMIUM],,
[PREMIUM],2019,Honda,Civic,SPORT,SC,Front End,0,147830,79579725,2026-04-15,CA - MENTONE,CA,,14591.0,[PREMIUM],,
[PREMIUM],2017,Dodge,Caravan,SXT,DV,Minor Dent/Scratches,0,160118,79435845,2026-04-15,CA - MENTONE,CA,,0.0,[PREMIUM],,
[PREMIUM],2017,Toyota,Corolla,L,SC,Side,0,0,72986195,2026-04-08,CA - MENTONE,CA,,27714.0,[PREMIUM],,
[PREMIUM],2016,Hyundai,Sonata,SE,SC,Vandalism,0,86903,47651566,2026-04-22,CA - MENTONE,CA,,5945.0,[PREMIUM],,
[PREMIUM],2023,Indian Motorcycle Co.,Motorcycle,BOBBER SIXTY ABS,SC,Front End,0,0,47424986,2026-04-09,CRASHEDTOYS POWERSPORT AUCTION,CA,,10332.0,[PREMIUM],,
[PREMIUM],2020,Honda,Accord,HYBRID,SC,Front End,0,181349,46710986,2026-04-22,CA - MENTONE,CA,,15883.0,[PREMIUM],,
[PREMIUM],2026,Toyota,Camry,XSE,SC,Rear End,0,3349,45942456,2026-04-08,CA - MENTONE,CA,,27574.0,[PREMIUM],,
[PREMIUM],2023,Chevrolet,Silverado,K1500 RST,SC,Front End,0,56256,79845425,2026-04-10,CA - REDDING,CA,,40596.0,[PREMIUM],,
[PREMIUM],2023,Honda,Civic,SPORT,SC,Front End,0,17765,79554015,,CA - REDDING,CA,,24546.0,[PREMIUM],,
[PREMIUM],2015,Nissan,Leaf,S,SC,Mechanical,0,128409,78501465,2026-04-10,CA - REDDING,CA,,8100.0,[PREMIUM],,
[PREMIUM],2023,Ford,Explorer,LIMITED,SC,Front End,0,51381,78537805,2026-04-17,CA - REDDING,CA,,31453.0,[PREMIUM],,
[PREMIUM],2015,Ram,3500,LARAMIE,SC,Stripped,0,0,76176225,2026-04-15,MEDIUM DUTY SPECIALTY SALE,CA,,5146.0,[PREMIUM],,
[PREMIUM],2016,Dodge,Journey,SXT,SC,Front End,0,114784,73256975,2026-04-10,CA - REDDING,CA,,15105.0,[PREMIUM],,
[PREMIUM],2023,Ram,1500,LARAMIE,SC,Front End,0,63357,47765116,,CA - REDDING,CA,,0.0,[PREMIUM],,
[PREMIUM],2019,Chevrolet,Colorado,LT,SC,Front End,0,127756,97847445,2026-04-08,CA - MENTONE,CA,,21951.0,[PREMIUM],,
[PREMIUM],2025,Toyota,Camry,XSE,SC,Mechanical,0,15143,96848185,2026-04-15,CA - MENTONE,CA,,25236.0,[PREMIUM],,
[PREMIUM],2020,Honda,Accord,SPORT,SC,Rear End,0,127731,79520265,2026-04-15,CA - MENTONE,CA,,16392.0,[PREMIUM],,
[PREMIUM],2016,Ford,Focus,SE,SC,Front End,0,126291,79575585,,CA - MENTONE,CA,,0.0,[PREMIUM],,
[PREMIUM],2020,Niss,Rogue,SL,SC,Front End,0,119213,78805265,,CA - MENTONE,CA,,0.0,[PREMIUM],,
[PREMIUM],2025,Honda,Civic,SPORT,SC,Front End,0,28332,78191445,2026-04-15,CA - MENTONE,CA,,12270.0,[PREMIUM],,
[PREMIUM],2021,Nissan,Leaf,SV,SC,Rear End,0,30410,77246525,2026-04-08,CA - MENTONE,CA,,12555.0,[PREMIUM],,
[PREMIUM],2022,Mercedes-Benz,S-Class,500 4MATIC,SC,Undercarriage,0,30928,77433155,2026-04-15,CA - MENTONE,CA,,29747.0,[PREMIUM],,
[PREMIUM],2022,Honda,Civic,SPORT,SC,Undercarriage,0,47702,76446995,2026-04-08,CA - MENTONE,CA,,21003.0,[PREMIUM],,
[PREMIUM],2022,Honda,Civic,EX,SC,Undercarriage,0,121638,74884105,2026-04-08,CA - MENTONE,CA,,13832.0,[PREMIUM],,
[PREMIUM],2020,Chevrolet,Colorado,Z71,SC,Front End,0,135072,74929535,2026-04-08,CA - MENTONE,CA,,18554.0,[PREMIUM],,
[PREMIUM],2015,Nissan,Altima,2.5,SC,All Over,0,58764,56766875,2026-04-15,CA - MENTONE,CA,,18597.0,[PREMIUM],,
[PREMIUM],2017,Honda,Accord,LX,SC,Front End,0,186745,48147736,2026-04-08,CA - MENTONE,CA,,12471.0,[PREMIUM],,
[PREMIUM],2016,Mazda,Cx-3,GRAND TOURING,SC,Front End,0,186509,46701936,2026-04-15,CA - MENTONE,CA,,9567.0,[PREMIUM],,
[PREMIUM],2015,Buick,Enclave,,SC,Front End,0,82605,46566256,2026-04-15,CA - MENTONE,CA,,0.0,[PREMIUM],,
